words@lav1986m	lav1986m	97.98	98.81	агааа...
words@lav1986m	lav1986m	101.37	101.63	на
words@lav1986m	lav1986m	101.63	101.89	кинотавре
words@lav1986m	lav1986m	101.89	102.15	/
words@lav1986m	lav1986m	102.15	102.41	да
words@lav1986m	lav1986m	106.19	106.84	абсолютно
words@lav1986m	lav1986m	121.84	122.186	да...
words@lav1986m	lav1986m	122.186	122.532	/
words@lav1986m	lav1986m	122.532	122.88	да-да-да
words@lav1986m	lav1986m	135.43	135.659	эээ...
words@lav1986m	lav1986m	135.659	135.888	/
words@lav1986m	lav1986m	135.888	136.117	дело
words@lav1986m	lav1986m	136.117	136.346	в
words@lav1986m	lav1986m	136.346	136.575	том
words@lav1986m	lav1986m	136.575	136.804	/
words@lav1986m	lav1986m	136.804	137.033	что
words@lav1986m	lav1986m	137.033	137.262	в
words@lav1986m	lav1986m	137.262	137.491	этом
words@lav1986m	lav1986m	137.491	137.72	кинотавре
words@lav1986m	lav1986m	137.85	138.138	на
words@lav1986m	lav1986m	138.138	138.426	закрытии
words@lav1986m	lav1986m	138.426	138.714	этого
words@lav1986m	lav1986m	138.714	139.002	кинотавра
words@lav1986m	lav1986m	139.002	139.29	показывали
words@lav1986m	lav1986m	139.29	139.578	видео
words@lav1986m	lav1986m	139.578	139.866	мои
words@lav1986m	lav1986m	139.866	140.16	уже
words@lav1986m	lav1986m	140.88	141.187	загадку
words@lav1986m	lav1986m	141.187	141.494	дыры
words@lav1986m	lav1986m	141.494	141.801	/
words@lav1986m	lav1986m	141.801	142.11	по-моему
words@lav1986m	lav1986m	142.89	143.257	инженера
words@lav1986m	lav1986m	143.257	143.624	/
words@lav1986m	lav1986m	143.624	143.991	что-то
words@lav1986m	lav1986m	143.991	144.36	такое
words@lav1986m	lav1986m	144.46	144.627	но
words@lav1986m	lav1986m	144.627	144.794	Федор
words@lav1986m	lav1986m	144.794	144.961	Сергеич
words@lav1986m	lav1986m	144.961	145.128	уже
words@lav1986m	lav1986m	145.128	145.295	был
words@lav1986m	lav1986m	145.295	145.462	в
words@lav1986m	lav1986m	145.462	145.629	курсе
words@lav1986m	lav1986m	145.629	145.796	/
words@lav1986m	lav1986m	145.796	145.963	он
words@lav1986m	lav1986m	145.963	146.13	ко
words@lav1986m	lav1986m	146.13	146.297	мне
words@lav1986m	lav1986m	146.297	146.47	подошел
words@lav1986m	lav1986m	146.58	147.17	познакомился
words@lav1986m	lav1986m	147.77	148.5	подошел
words@lav1986m	lav1986m	149.04	149.308	подошел
words@lav1986m	lav1986m	149.308	149.576	/
words@lav1986m	lav1986m	149.576	149.844	познакомился
words@lav1986m	lav1986m	149.844	150.112	/
words@lav1986m	lav1986m	150.112	150.38	сказал
words@lav1986m	lav1986m	150.38	150.648	/
words@lav1986m	lav1986m	150.648	150.916	что
words@lav1986m	lav1986m	150.916	151.184	он
words@lav1986m	lav1986m	151.184	151.452	поклонник
words@lav1986m	lav1986m	151.452	151.72	/
words@lav1986m	lav1986m	151.72	151.99	познакомил
words@lav1986m	lav1986m	152.18	152.438	с
words@lav1986m	lav1986m	152.438	152.696	женой
words@lav1986m	lav1986m	152.696	152.954	/
words@lav1986m	lav1986m	152.954	153.212	сказал
